 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,80871792,9,5,62,11607,20,0,6.888888889,5.30199124,5840,0,2321.4,3173.373883,144.2901129,0.173113513,6220907.077,21700000,78300000,0,80700000,10100000,27600000,78300000,0,128354,32088.5,63326.0104,127075,47,0,0,0,0,192,112,0.111287258,0.061826255,0,5840,778.3333333,2037.844508,4152810.238,0,0,0,0,1,0,0,0,0,833.9285714,6.888888889,2321.4,192,0,0,0,0,0,0,9,62,5,11607,256,229,7,20,2397969,0,2397969,2397969,78300000,0,78300000,78300000,DDoS
80,81191895,8,6,56,11601,20,0,7,5.656854249,4380,0,1933.5,1757.789948,143.5734441,0.172431004,6245530.385,21100000,76300000,3,80700000,11500000,28600000,76300000,3,534135,106827,224276.296,507518,61,0,0,0,0,172,132,0.098532002,0.073899002,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,4389875,0,4389875,4389875,76300000,0,76300000,76300000,DDoS
80,2168975,4,0,24,0,6,6,6,0,0,0,0,0,11.06513445,1.844189075,722991.6667,1248781.952,2164959,3,2168975,722991.6667,1248781.952,2164959,3,0,0,0,0,0,0,0,0,0,80,0,1.844189075,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,6774750,5,0,30,0,6,6,6,0,0,0,0,0,4.428207683,0.738034614,1693687.5,3384769.9,6770842,3,6774750,1693687.5,3384769.9,6770842,3,0,0,0,0,0,0,0,0,0,100,0,0.738034614,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3908,0,3908,3908,6770842,0,6770842,6770842,DDoS
80,10456267,7,6,50,11607,20,0,7.142857143,6.094494002,5840,0,1934.5,2538.919278,1114.833812,1.243273532,871355.5833,2306372.896,7963091,1,9956914,1659485.667,3189089.661,7963091,1,500127,100025.4,223157.3803,499221,3,0,0,0,0,152,132,0.669454979,0.573818553,0,5840,833.0714286,1859.875946,3459138.533,0,0,0,0,1,0,0,0,0,897.1538462,7.142857143,1934.5,152,0,0,0,0,0,0,7,50,6,11607,256,229,5,20,1992999,0,1992999,1992999,7963091,0,7963091,7963091,DDoS
80,623377,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,18661.25956,11.22915988,103896.1667,254246.2175,622874,3,438,219,305.4701295,435,3,623330,207776.6667,359484.9049,622874,5,0,0,0,0,72,92,4.812497092,6.41666279,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,441663,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,26339.08659,18.11335792,63094.71429,166500.8988,440683,4,658,329,459.6194078,654,4,441590,110397.5,220190.4754,440683,61,0,0,0,0,72,112,6.792509221,11.3208487,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,1491415,4,0,24,0,6,6,6,0,0,0,0,0,16.09210045,2.682016742,497138.3333,860483.421,1490739,273,1491415,497138.3333,860483.421,1490739,273,0,0,0,0,0,0,0,0,0,80,0,2.682016742,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,7132861,5,0,30,0,6,6,6,0,0,0,0,0,4.205885969,0.700980995,1783215.25,3564403.928,7129821,3,7132861,1783215.25,3564403.928,7129821,3,0,0,0,0,0,0,0,0,0,100,0,0.700980995,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3040,0,3040,3040,7129821,0,7129821,7129821,DDoS
80,409823,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,28370.78446,21.96070011,51227.875,138610.169,394030,1,15018,7509,10617.91543,15017,1,409768,81953.6,174583.3682,394030,17,0,0,0,0,72,132,7.320233369,14.64046674,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,4264472,4,0,24,0,6,6,6,0,0,0,0,0,5.627894848,0.937982475,1421490.667,2461658.446,4263969,247,4264472,1421490.667,2461658.446,4263969,247,0,0,0,0,0,0,0,0,0,80,0,0.937982475,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,81574839,8,7,56,11601,20,0,7,5.656854249,4380,0,1657.285714,1561.969346,142.8994546,0.183880228,5826774.214,19900000,74800000,1,80600000,11500000,28000000,74800000,1,952095,158682.5,377859.0577,929784,16,0,0,0,0,172,152,0.098069455,0.085810773,0,4380,728.9375,1300.351618,1690914.329,0,0,0,0,1,0,0,0,0,777.5333333,7,1657.285714,172,0,0,0,0,0,0,8,56,7,11601,256,229,6,20,2016,0,2016,2016,40300000,48800000,74800000,5837910,DDoS
80,8047798,5,0,30,0,6,6,6,0,0,0,0,0,3.727727759,0.62128796,2011949.5,4022591.693,8045837,3,8047798,2011949.5,4022591.693,8045837,3,0,0,0,0,0,0,0,0,0,100,0,0.62128796,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1961,0,1961,1961,8045837,0,8045837,8045837,DDoS
80,9854651,5,0,30,0,6,6,6,0,0,0,0,0,3.044247838,0.50737464,2463662.75,4924074.471,9849774,1,9854651,2463662.75,4924074.471,9849774,1,0,0,0,0,0,0,0,0,0,100,0,0.50737464,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,4877,0,4877,4877,9849774,0,9849774,9849774,DDoS
80,3935928,4,0,24,0,6,6,6,0,0,0,0,0,6.097672518,1.016278753,1311976,2272404.76,3935923,1,3935928,1311976,2272404.76,3935923,1,0,0,0,0,0,0,0,0,0,80,0,1.016278753,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,829550,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,14016.03279,9.643782774,118507.1429,311847.2505,825705,46,3549,1774.5,2253.549312,3368,181,829503,207375.75,412222.7977,825705,46,0,0,0,0,72,112,3.61641854,6.027364234,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
