flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_44904_192.168.10.51_444_TCP_2017-07-05 13:52:55.240247,2017-07-05 13:52:55.240247,172.16.0.1,44904,192.168.10.51,444,TCP,5.042543888092041,9,4,5,1823,517,1306,1306,0,202.55555556,422.11981214,178185.13580247,1306,0,202.55555556,422.11981214,50116.6875,1306,0,202.55555556,422.11981214,272901.76,304,40,32,33.77777778,3.32591768,136,40,32,34.0,3.46410162,168,40,32,33.6,3.2,129.25,261.2,202.55555555555557,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.5238737544777,102.5276153214838,258.9962584329939,1.7848134195229286,0.9915630108460716,0.7932504086768571,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,5,0,0,0.63031799,1.09629259,2.8811049461364746,4.696846008300781e-05,5.042543888092041,0.96137698,1.35749717,2.8811678886413574,0.0013439655303955,2.884130954742432,1.26062423,1.29041137,2.9199910163879395,0.0003328323364257,5.042496919631958,2.0,2.5,258.5,258.5,Heartbleed
172.16.0.1_44906_192.168.10.51_444_TCP_2017-07-05 13:53:13.871638,2017-07-05 13:53:13.871638,172.16.0.1,44906,192.168.10.51,444,TCP,5.011056900024414,9,4,5,1823,517,1306,1306,0,202.55555556,422.11981214,178185.13580247,1306,0,202.55555556,422.11981214,50116.6875,1306,0,202.55555556,422.11981214,272901.76,304,40,32,33.77777778,3.32591768,136,40,32,34.0,3.46410162,168,40,32,33.6,3.2,129.25,261.2,202.55555555555557,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.7955098835773,103.17184783862284,260.6236620449545,1.796028298931539,0.9977934994064106,0.7982347995251284,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,5,0,0,0.62638211,1.12365746,3.151447057723999,1.6927719116210938e-05,5.011056900024414,0.60686334,0.85669216,1.818408966064453,0.0008208751678466,1.8205900192260744,1.25275671,1.33263071,3.151447057723999,0.0001039505004882,5.011026859283447,2.0,2.5,258.5,258.5,Heartbleed
172.16.0.1_44990_192.168.10.51_444_TCP_2017-07-05 14:09:50.636311,2017-07-05 14:09:50.636311,172.16.0.1,44990,192.168.10.51,444,TCP,5.027477979660034,9,4,5,1823,517,1306,1306,0,202.55555556,422.11981214,178185.13580247,1306,0,202.55555556,422.11981214,50116.6875,1306,0,202.55555556,422.11981214,272901.76,304,40,32,33.77777778,3.32591768,136,40,32,34.0,3.46410162,168,40,32,33.6,3.2,129.25,261.2,202.55555555555557,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.60725703333145,102.83486115536608,259.7723958779654,1.790161993033452,0.99453444057414,0.795627552459312,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,5,0,0,0.62843475,1.08964075,2.8250529766082764,4.792213439941406e-05,5.027477979660034,0.72152162,1.01883438,2.1623709201812744,0.0006349086761474,2.164564847946167,1.25685453,1.27491374,2.8250529766082764,0.0003139972686767,5.02741813659668,2.0,2.5,258.5,258.5,Heartbleed
172.16.0.1_44994_192.168.10.51_444_TCP_2017-07-05 14:10:02.843894,2017-07-05 14:10:02.843894,172.16.0.1,44994,192.168.10.51,444,TCP,5.016771078109741,9,4,5,1823,517,1306,1306,0,202.55555556,422.11981214,178185.13580247,1306,0,202.55555556,422.11981214,50116.6875,1306,0,202.55555556,422.11981214,272901.76,304,40,32,33.77777778,3.32591768,136,40,32,34.0,3.46410162,168,40,32,33.6,3.2,129.25,261.2,202.55555555555557,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.38114129913305,103.05433354451552,260.3268077546176,1.7939825955524946,0.9966569975291636,0.7973255980233309,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,5,0,0,0.62709638,1.3169292,4.01068115234375,4.0531158447265625e-06,5.016771078109741,1.3376147,1.8901561,4.010699033737183,0.0006051063537597,4.012844085693359,1.25419176,1.66055437,4.0482470989227295,0.0002131462097167,5.0167670249938965,4.0,5.0,517.0,517.0,Heartbleed
172.16.0.1_44904_192.168.10.51_444_TCP_2017-07-05 13:53:00.283187,2017-07-05 13:53:00.283187,172.16.0.1,44904,192.168.10.51,444,TCP,0.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,20,20.0,0.0,20,20,20,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499277180.283187,0.0,1499277180.283187,1499277180.283187,1499277180.283187,1499277180.283187,0.0,1499277180.283187,1499277180.283187,1499277180.283187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
172.16.0.1_44906_192.168.10.51_444_TCP_2017-07-05 13:53:18.883144,2017-07-05 13:53:18.883144,172.16.0.1,44906,192.168.10.51,444,TCP,0.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,20,20.0,0.0,20,20,20,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499277198.883144,0.0,1499277198.883144,1499277198.883144,1499277198.883144,1499277198.883144,0.0,1499277198.883144,1499277198.883144,1499277198.883144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
172.16.0.1_44912_192.168.10.51_444_TCP_2017-07-05 13:59:47.380171,2017-07-05 13:59:47.380171,172.16.0.1,44912,192.168.10.51,444,TCP,6.620403051376343,11,5,6,12,12,0,5,0,1.09090909,1.92847304,3.71900826,5,0,1.09090909,1.92847304,5.04,5,0,1.09090909,1.92847304,0.0,368,40,32,33.45454545,3.08555686,168,40,32,33.6,3.2,200,40,32,33.33333333,2.98142397,2.4,0.0,1.0909090909090908,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8125784649176715,1.8125784649176715,0.0,1.6615302595078656,0.9062892324588356,0.7552410270490298,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1,3,0,0,2,10,0,1,0,3,0,0,1,4,0,0,1,0,0,0,1,6,0,1,0.66204031,1.11023475,3.3038508892059326,2.5033950805664062e-05,6.620403051376343,1.65506172,1.19924001,3.30389404296875,0.000795841217041,6.620246887207031,1.3240756,1.26072902,3.303910970687866,4.506111145019531e-05,6.620378017425537,1.6666666666666667,2.0,4.0,4.0,Heartbleed
172.16.0.1_44992_192.168.10.51_444_TCP_2017-07-05 14:09:54.892192,2017-07-05 14:09:54.892192,172.16.0.1,44992,192.168.10.51,444,TCP,5.778207063674927,11,5,6,15,15,0,5,0,1.36363636,2.22680886,4.95867769,5,0,1.36363636,2.22680886,6.0,5,0,1.36363636,2.22680886,0.0,368,40,32,33.45454545,3.08555686,168,40,32,33.6,3.2,200,40,32,33.33333333,2.98142397,3.0,0.0,1.3636363636363635,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.595960967598145,2.595960967598145,0.0,1.903704709571973,1.0383843870392582,0.8653203225327151,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1,3,0,0,2,10,0,1,0,3,0,0,1,4,0,0,1,0,0,0,1,6,0,1,0.57782071,0.78743747,2.3895909786224365,1.7881393432617188e-05,5.778207063674927,0.84713954,0.48957766,1.176232099533081,0.0006611347198486,3.388558149337769,1.15563159,0.75676068,2.3895909786224365,4.00543212890625e-05,5.778157949447632,1.25,1.5,3.75,3.75,Heartbleed
172.16.0.1_44990_192.168.10.51_444_TCP_2017-07-05 14:09:55.664158,2017-07-05 14:09:55.664158,172.16.0.1,44990,192.168.10.51,444,TCP,0.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,20,20.0,0.0,20,20,20,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499278195.664158,0.0,1499278195.664158,1499278195.664158,1499278195.664158,1499278195.664158,0.0,1499278195.664158,1499278195.664158,1499278195.664158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
172.16.0.1_44994_192.168.10.51_444_TCP_2017-07-05 14:10:07.861142,2017-07-05 14:10:07.861142,172.16.0.1,44994,192.168.10.51,444,TCP,0.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,20,20.0,0.0,20,20,20,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499278207.861142,0.0,1499278207.861142,1499278207.861142,1499278207.861142,1499278207.861142,0.0,1499278207.861142,1499278207.861142,1499278207.861142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
