flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_36196_192.168.10.50_80_TCP_2017-07-06 09:40:07.419016,2017-07-06 09:40:07.419016,172.16.0.1,36196,192.168.10.50,80,TCP,5.006404161453247,9,5,4,977,447,530,530,0,108.55555556,204.02892557,41627.80246914,530,0,108.55555556,204.02892557,31969.44,530,0,108.55555556,204.02892557,52668.75,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,89.4,132.5,108.55555555555556,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.1500455201761,89.28564006910818,105.86440545106788,1.7976974510558694,0.7989766449137198,0.9987208061421498,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.62580052,1.65344926,5.000415086746216,3.814697265625e-06,5.006404161453247,1.25160104,2.16453929,5.000692129135132,3.814697265625e-06,5.006404161453247,1.66866533,2.35632431,5.001010894775391,0.0014069080352783,5.005995988845825,5.0,4.0,447.0,447.0,Web_SQL_Injection
172.16.0.1_36198_192.168.10.50_80_TCP_2017-07-06 09:40:13.192475,2017-07-06 09:40:13.192475,172.16.0.1,36198,192.168.10.50,80,TCP,5.070453882217407,9,5,4,2300,460,1840,1840,0,255.55555556,578.25621217,334380.24691358,1840,0,255.55555556,578.25621217,33856.0,1840,0,255.55555556,578.25621217,634800.0,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,92.0,460.0,255.55555555555557,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.6083067565868,90.72166135131737,362.8866454052694,1.774989026438818,0.7888840117505858,0.986105014688232,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.63380674,1.65075893,5.000920057296753,4.0531158447265625e-06,5.070453882217407,1.26761347,2.1559067,5.001446962356567,4.0531158447265625e-06,5.070453882217407,1.68993298,2.34190093,5.001659154891968,0.0008699893951416,5.069798946380615,5.0,4.0,460.0,460.0,Web_SQL_Injection
172.16.0.1_36200_192.168.10.50_80_TCP_2017-07-06 09:40:22.024349,2017-07-06 09:40:22.024349,172.16.0.1,36200,192.168.10.50,80,TCP,5.039259910583496,9,5,4,2418,537,1881,1881,0,268.66666667,594.12811937,352988.22222222,1881,0,268.66666667,594.12811937,46139.04,1881,0,268.66666667,594.12811937,663405.1875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,107.4,470.25,268.6666666666667,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.8323648521673,106.56326713218108,373.26909771998623,1.7859765441147666,0.7937673529398963,0.9922091911748704,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.62990749,1.65341457,5.004343032836914,3.814697265625e-06,5.039259910583496,1.25981498,2.16231657,5.004984855651856,3.814697265625e-06,5.039259910583496,1.67950137,2.35162836,5.00515604019165,0.0008721351623535,5.038504123687744,5.0,4.0,537.0,537.0,Web_SQL_Injection
172.16.0.1_36202_192.168.10.50_80_TCP_2017-07-06 09:40:33.464668,2017-07-06 09:40:33.464668,172.16.0.1,36202,192.168.10.50,80,TCP,5.087154865264893,10,6,4,4749,600,4149,4149,0,474.9,1237.69547547,1531890.09,4149,0,474.9,1237.69547547,50000.0,4149,0,474.9,1237.69547547,3227662.6875,336,40,32,33.6,3.2,200,40,32,33.33333333,2.98142397,136,40,32,34.0,3.46410162,100.0,1037.25,474.9,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.5277037516952,117.94411923584272,815.5835845158525,1.965735320597379,0.7862941282389516,1.1794411923584274,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,9,0,0,1,1,0,0,1,5,0,0,1,1,0,0,1,4,0,0,0.56523943,1.56950364,5.0039050579071045,4.0531158447265625e-06,5.087154865264893,1.01743097,1.99380255,5.004544019699097,4.0531158447265625e-06,5.087154865264893,1.69545801,2.3404978,5.005102872848511,0.0008471012115478,5.086374044418335,6.0,4.0,600.0,600.0,Web_SQL_Injection
172.16.0.1_36204_192.168.10.50_80_TCP_2017-07-06 09:41:07.295664,2017-07-06 09:41:07.295664,172.16.0.1,36204,192.168.10.50,80,TCP,5.006651878356934,9,5,4,2620,599,2021,2021,0,291.11111111,639.49032561,408947.87654321,2021,0,291.11111111,639.49032561,57408.16,2021,0,291.11111111,639.49032561,765832.6875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,119.8,505.25,291.1111111111111,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.3038093433057,119.6408327468092,403.6629765964965,1.7976085053777675,0.79893711350123,0.9986713918765376,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.62583148,1.65329927,5.000048875808716,0.000108003616333,5.006651878356934,1.25166297,2.16441184,5.000532865524292,0.0003299713134765,5.006651878356934,1.66866501,2.35612329,5.000725984573364,0.0009880065917968,5.005995035171509,5.0,4.0,599.0,599.0,Web_SQL_Injection
172.16.0.1_36206_192.168.10.50_80_TCP_2017-07-06 09:41:20.992304,2017-07-06 09:41:20.992304,172.16.0.1,36206,192.168.10.50,80,TCP,5.009627819061279,9,5,4,1053,523,530,530,0,117.0,218.89317537,47914.22222222,530,0,117.0,218.89317537,43764.64,530,0,117.0,218.89317537,52668.75,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,104.6,132.5,117.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.1952556222659,104.39897311533244,105.79628250693344,1.796540646344153,0.7984625094862902,0.9980781368578628,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.62620348,1.654911,5.004685878753662,4.291534423828125e-05,5.009627819061279,1.25240695,2.16671849,5.00527286529541,4.911422729492188e-05,5.009627819061279,1.66963895,2.35864746,5.005270004272461,0.000882863998413,5.008916854858398,5.0,4.0,523.0,523.0,Web_SQL_Injection
172.16.0.1_36208_192.168.10.50_80_TCP_2017-07-06 09:41:34.345596,2017-07-06 09:41:34.345596,172.16.0.1,36208,192.168.10.50,80,TCP,5.010299921035767,9,5,4,2376,536,1840,1840,0,264.0,581.72463894,338403.55555556,1840,0,264.0,581.72463894,45967.36,1840,0,264.0,581.72463894,634800.0,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,107.2,460.0,264.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.2231078870855,106.97962366476338,367.2434842223221,1.796299651087445,0.7983554004833088,0.997944250604136,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.62628749,1.6547917,5.004453897476196,4.792213439941406e-05,5.010299921035767,1.25257498,2.16651089,5.005080938339233,4.887580871582031e-05,5.010299921035767,1.66984797,2.35841836,5.005154848098755,0.0008888244628906,5.009543895721436,5.0,4.0,536.0,536.0,Web_SQL_Injection
172.16.0.1_36210_192.168.10.50_80_TCP_2017-07-06 09:41:46.489087,2017-07-06 09:41:46.489087,172.16.0.1,36210,192.168.10.50,80,TCP,5.007611989974976,9,5,4,2418,537,1881,1881,0,268.66666667,594.12811937,352988.22222222,1881,0,268.66666667,594.12811937,46139.04,1881,0,268.66666667,594.12811937,663405.1875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,107.4,470.25,268.6666666666667,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.8648874634721,107.23674299747084,375.6281444660012,1.7972638491196231,0.7987839329420547,0.9984799161775684,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.6259515,1.6534901,5.000673055648804,4.0531158447265625e-06,5.007611989974976,1.25186497,2.16437651,5.000673055648804,4.0531158447265625e-06,5.007459878921509,1.66916871,2.35632321,5.001512050628662,0.000878095626831,5.007506132125855,5.0,4.0,537.0,537.0,Web_SQL_Injection
172.16.0.1_36212_192.168.10.50_80_TCP_2017-07-06 09:41:54.064531,2017-07-06 09:41:54.064531,172.16.0.1,36212,192.168.10.50,80,TCP,5.012597799301148,11,6,5,4749,600,4149,2701,0,431.72727273,836.75956044,700166.56198347,2701,0,431.72727273,836.75956044,50000.0,2701,0,431.72727273,836.75956044,1189852.96,368,40,32,33.45454545,3.08555686,200,40,32,33.33333333,2.98142397,168,40,32,33.6,3.2,100.0,829.8,431.7272727272728,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.4129363943986,119.69841268406805,827.7145237103305,2.194470899207914,0.9974867723672336,1.1969841268406805,0.8333333333333334,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,10,0,0,1,1,0,0,1,5,0,0,1,1,0,0,1,5,0,0,0.50125978,1.49963633,5.000159978866577,2.86102294921875e-06,5.012597799301148,1.00249577,1.99883631,5.000159978866577,2.86102294921875e-06,5.012478828430176,1.2531212,2.1640543,5.001366853713989,5.1021575927734375e-05,5.012484788894653,6.0,5.0,600.0,600.0,Web_SQL_Injection
172.16.0.1_36214_192.168.10.50_80_TCP_2017-07-06 09:42:12.265347,2017-07-06 09:42:12.265347,172.16.0.1,36214,192.168.10.50,80,TCP,5.005547046661377,9,5,4,2620,599,2021,2021,0,291.11111111,639.49032561,408947.87654321,2021,0,291.11111111,639.49032561,57408.16,2021,0,291.11111111,639.49032561,765832.6875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,119.8,505.25,291.1111111111111,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.4193137286562,119.66724004712408,403.7520736815322,1.7980052761671397,0.7991134560742843,0.9988918200928556,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.62569338,1.65338765,5.000144958496094,4.0531158447265625e-06,5.005547046661377,1.25134701,2.16437011,5.000144958496094,4.0531158447265625e-06,5.005388021469116,1.66846999,2.35644146,5.000981092453003,0.0008759498596191,5.0054099559783936,5.0,4.0,599.0,599.0,Web_SQL_Injection
