flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_44380_192.168.10.50_80_TCP_2017-07-06 08:15:54.880049,2017-07-06 08:15:54.880049,172.16.0.1,44380,192.168.10.50,80,TCP,5.185842990875244,15,8,7,3343,1022,2321,1047,0,222.86666667,320.08933475,102457.18222222,1047,0,222.86666667,320.08933475,27745.1875,1047,0,222.86666667,320.08933475,165685.95918367,496,40,32,33.06666667,2.71947707,264,40,32,33.0,2.64575131,232,40,32,33.14285714,2.79941685,127.75,331.57142857142856,222.86666666666667,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.6396479573676,197.0749985678821,447.5646493894856,2.8924901942448447,1.3498287573142609,1.5426614369305838,0.875,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,6,0,0,2,14,0,0,1,3,0,0,1,7,0,0,1,3,0,0,1,7,0,0,0.37041736,1.27452353,4.963955879211426,4.0531158447265625e-06,5.185842990875244,0.74083471,1.72503065,4.964680910110474,4.0531158447265625e-06,5.185842990875244,0.86416733,1.85093102,5.001548051834106,0.0008790493011474,5.185003995895386,8.0,7.0,1022.0,1022.0,Web_Brute_Force
172.16.0.1_44382_192.168.10.50_80_TCP_2017-07-06 08:15:55.042962,2017-07-06 08:15:55.042962,172.16.0.1,44382,192.168.10.50,80,TCP,5.057574033737183,18,10,8,10616,736,9880,4344,0,589.77777778,1156.91340094,1338448.61728395,4344,0,589.77777778,1156.91340094,21813.64,4344,0,589.77777778,1156.91340094,2234881.25,592,40,32,32.88888889,2.51415744,328,40,32,32.8,2.4,264,40,32,33.0,2.64575131,73.6,1235.0,589.7777777777778,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.030074336953,145.52431562848503,1953.505758708468,3.559018588740124,1.5817860394400547,1.9772325493000684,0.8,0,0,0,9375.0,4.0,35234408.60215054,0,0,0,0,1,9375,4,0.0002660751342773,2,4,0,0,2,17,0,0,1,2,0,0,1,9,0,0,1,2,0,0,1,8,0,0,0.29750435,1.16644792,4.96312403678894,3.600120544433594e-05,5.057574033737183,0.56193044,1.55613386,4.96312403678894,0.0001919269561767,5.057374000549316,0.72249174,1.74682151,5.0012571811676025,3.600120544433594e-05,5.05744218826294,10.0,8.0,736.0,736.0,Web_Brute_Force
172.16.0.1_44384_192.168.10.50_80_TCP_2017-07-06 08:16:01.135747,2017-07-06 08:16:01.135747,172.16.0.1,44384,192.168.10.50,80,TCP,5.2712719440460205,13,7,6,2399,969,1430,1066,0,184.53846154,317.1179386,100563.78698225,1066,0,184.53846154,317.1179386,49578.24489796,1066,0,184.53846154,317.1179386,154672.55555556,432,40,32,33.23076923,2.8864097,232,40,32,33.14285714,2.79941685,200,40,32,33.33333333,2.98142397,138.42857142857142,238.33333333333331,184.53846153846155,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.10837336133,183.8266001613709,271.2817731999591,2.4661979381814465,1.1382452022375906,1.3279527359438557,0.8571428571428571,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,4,0,0,2,12,0,0,1,2,0,0,1,6,0,0,1,2,0,0,1,6,0,0,0.43927266,1.36555254,4.961915969848633,4.601478576660156e-05,5.2712719440460205,0.87852049,1.82857427,4.961915969848633,0.0003228187561035,5.271122932434082,1.05422597,1.97597978,5.000922918319702,0.0010340213775634,5.271129846572876,7.0,6.0,969.0,969.0,Web_Brute_Force
172.16.0.1_44386_192.168.10.50_80_TCP_2017-07-06 08:16:07.422934,2017-07-06 08:16:07.422934,172.16.0.1,44386,192.168.10.50,80,TCP,5.020823955535889,12,7,5,2403,973,1430,1066,0,200.25,325.74788948,106111.6875,1066,0,200.25,325.74788948,50063.14285714,1066,0,200.25,325.74788948,171974.4,400,40,32,33.33333333,2.98142397,232,40,32,33.14285714,2.79941685,168,40,32,33.6,3.2,139.0,286.0,200.25,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.6067030592631,193.7928930822568,284.8138099770064,2.3900459578490043,0.9958524824370852,1.3941934754119192,0.7142857142857143,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,4,0,0,2,11,0,0,1,2,0,0,1,6,0,0,1,2,0,0,1,5,0,0,0.45643854,1.4250335,4.962654113769531,1.811981201171875e-05,5.020823955535889,0.836773,1.84521357,4.962654113769531,1.811981201171875e-05,5.0206379890441895,1.2551775,2.16323326,5.002002000808716,0.0009338855743408,5.020709991455078,7.0,5.0,973.0,973.0,Web_Brute_Force
172.16.0.1_44388_192.168.10.50_80_TCP_2017-07-06 08:18:29.723819,2017-07-06 08:18:29.723819,172.16.0.1,44388,192.168.10.50,80,TCP,1.640791893005371,23,12,11,14861,2145,12716,5330,0,646.13043478,1227.42970415,1506583.67863894,5330,0,646.13043478,1227.42970415,46773.6875,5330,0,646.13043478,1227.42970415,2600833.63636364,752,40,32,32.69565217,2.25417068,392,40,32,32.66666667,2.21108319,360,40,32,32.72727273,2.2998383,178.75,1156.0,646.1304347826087,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9057.2119860854,1307.2955864445987,7749.9163996408015,14.017621672832528,6.704079930485122,7.313541742347406,0.9166666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,10,0,0,2,22,0,0,1,5,0,0,1,11,0,0,1,5,0,0,1,11,0,0,0.07458145,0.30334825,1.4635591506958008,9.5367431640625e-07,1.640791893005371,0.14809537,0.41669046,1.4635591506958008,0.000195026397705,1.6290490627288818,0.16406589,0.43997024,1.483004093170166,9.5367431640625e-07,1.6406588554382324,12.0,11.0,2145.0,2145.0,Web_Brute_Force
172.16.0.1_44390_192.168.10.50_80_TCP_2017-07-06 08:18:29.772799,2017-07-06 08:18:29.772799,172.16.0.1,44390,192.168.10.50,80,TCP,5.088804960250855,9,5,4,1121,358,763,763,0,124.55555556,251.81700195,63411.80246914,763,0,124.55555556,251.81700195,20506.24,763,0,124.55555556,251.81700195,109156.6875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,71.6,190.75,124.55555555555556,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.2874758919312,70.35050523578177,149.9369706561494,1.7685881204526144,0.7860391646456064,0.982548955807008,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.63610062,1.65057334,5.00250506401062,4.0531158447265625e-06,5.088804960250855,1.27220124,2.15421799,5.002938985824585,4.0531158447265625e-06,5.088804960250855,1.69609833,2.33873221,5.003216981887817,0.0009799003601074,5.088294982910156,5.0,4.0,358.0,358.0,Web_Brute_Force
172.16.0.1_44392_192.168.10.50_80_TCP_2017-07-06 08:18:29.773073,2017-07-06 08:18:29.773073,172.16.0.1,44392,192.168.10.50,80,TCP,21.405331134796143,48,28,20,25818,5927,19891,2896,0,537.875,737.87850809,544464.69270833,2896,0,537.875,737.87850809,46420.78954082,2896,0,537.875,737.87850809,884208.3475,1552,40,32,32.33333333,1.59861051,904,40,32,32.28571429,1.48461498,648,40,32,32.4,1.74355958,211.67857142857144,994.55,537.875,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.148124381533,276.8936375090769,929.254486872456,2.2424320230193504,0.9343466762580628,1.3080853467612876,0.7142857142857143,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,28,0,0,2,47,0,0,1,14,0,0,1,27,0,0,1,14,0,0,1,20,0,0,0.45543258,1.16475877,4.962947130203247,4.00543212890625e-05,21.405331134796143,0.79278534,1.4471373,4.962947130203247,0.0007050037384033,21.40520405769348,1.12659427,1.63021309,5.0018391609191895,6.103515625e-05,21.405291080474854,4.0,2.857142857142857,846.7142857142857,846.7142857142857,Web_Brute_Force
172.16.0.1_44486_192.168.10.50_80_TCP_2017-07-06 08:19:28.266264,2017-07-06 08:19:28.266264,172.16.0.1,44486,192.168.10.50,80,TCP,3.533613920211792,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4149819739504303,0.5659927895801722,0.8489891843702583,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.88340348,1.52943803,3.532467842102051,0.0002081394195556,3.533613920211792,1.76665497,1.76581287,3.532467842102051,0.0008420944213867,3.533309936523437,3.53340578,0.0,3.5334057807922363,3.5334057807922363,3.5334057807922363,3.0,2.0,0.0,0.0,Web_Brute_Force
172.16.0.1_44484_192.168.10.50_80_TCP_2017-07-06 08:19:28.266143,2017-07-06 08:19:28.266143,172.16.0.1,44484,192.168.10.50,80,TCP,3.533747911453247,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4149283212292751,0.5659713284917101,0.8489569927375651,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.88343698,1.52956998,3.5327298641204834,5.602836608886719e-05,3.533747911453247,1.76684594,1.76588392,3.5327298641204834,0.0009620189666748,3.533691883087158,3.53346491,0.0,3.533464908599853,3.533464908599853,3.533464908599853,3.0,2.0,0.0,0.0,Web_Brute_Force
172.16.0.1_44466_192.168.10.50_80_TCP_2017-07-06 08:19:27.749556,2017-07-06 08:19:27.749556,172.16.0.1,44466,192.168.10.50,80,TCP,4.050359010696411,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344584731367576,0.493783389254703,0.7406750838820546,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1.01258975,1.75345552,4.049663782119751,6.318092346191406e-05,4.050359010696411,2.02514791,2.02451587,4.049663782119751,0.0006320476531982,4.050295829772949,4.05026817,0.0,4.050268173217773,4.050268173217773,4.050268173217773,3.0,2.0,0.0,0.0,Web_Brute_Force
