flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_52120_192.168.10.50_80_TCP_2017-07-06 09:15:35.650400,2017-07-06 09:15:35.650400,172.16.0.1,52120,192.168.10.50,80,TCP,5.638664960861206,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867347208436266,0.3546938883374506,0.532040832506176,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1.40966624,2.44108071,5.637742042541504,7.200241088867188e-05,5.638664960861206,2.81921601,2.81852603,5.637742042541504,0.0006899833679199,5.638432025909424,5.63859296,0.0,5.638592958450317,5.638592958450317,5.638592958450317,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52100_192.168.10.50_80_TCP_2017-07-06 09:15:35.343132,2017-07-06 09:15:35.343132,172.16.0.1,52100,192.168.10.50,80,TCP,5.946011066436768,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408998813041769,0.3363599525216707,0.5045399287825061,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1.48650277,2.57414689,5.945055961608887,4.792213439941406e-05,5.946011066436768,2.97285199,2.97220397,5.945055961608887,0.000648021697998,5.945703983306885,5.94596314,0.0,5.945963144302368,5.945963144302368,5.945963144302368,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52118_192.168.10.50_80_TCP_2017-07-06 09:15:35.650305,2017-07-06 09:15:35.650305,172.16.0.1,52118,192.168.10.50,80,TCP,5.638768911361694,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867183739211899,0.354687349568476,0.532031024352714,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1.40969223,2.44108704,5.637778997421265,0.0001459121704101,5.638768911361694,2.81926346,2.81851554,5.637778997421265,0.0007479190826416,5.638526916503906,5.638623,0.0,5.638622999191284,5.638622999191284,5.638622999191284,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52098_192.168.10.50_80_TCP_2017-07-06 09:15:35.283859,2017-07-06 09:15:35.283859,172.16.0.1,52098,192.168.10.50,80,TCP,6.075959920883179,29,17,12,15748,2615,13133,7240,0,543.03448276,1315.57805527,1730745.61950059,7240,0,543.03448276,1315.57805527,36438.14532872,7240,0,543.03448276,1315.57805527,3612388.24305556,944,40,32,32.55172414,2.02716393,552,40,32,32.47058824,1.88235294,392,40,32,32.66666667,2.21108319,153.8235294117647,1094.4166666666667,543.0344827586207,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591.853831338461,430.384669097668,2161.469162240793,4.772908376226528,1.9749965694730465,2.7979118067534823,0.7058823529411765,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,14,0,0,2,28,0,0,1,7,0,0,1,16,0,0,1,7,0,0,1,12,0,0,0.21699857,0.93433553,5.004328966140747,3.814697265625e-06,6.075959920883179,0.3797475,1.21098183,5.00517201423645,3.814697265625e-06,6.075959920883179,0.55227416,1.42785823,5.005139827728272,6.914138793945312e-05,6.0750157833099365,17.0,12.0,2615.0,2615.0,Web_XSS
172.16.0.1_52222_192.168.10.50_80_TCP_2017-07-06 09:15:57.283356,2017-07-06 09:15:57.283356,172.16.0.1,52222,192.168.10.50,80,TCP,3.6078040599823,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3858845760111846,0.5543538304044738,0.8315307456067108,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.90195101,1.56170137,3.6068971157073975,0.0001461505889892,3.6078040599823,1.80378258,1.80311453,3.6068971157073975,0.0006680488586425,3.60756516456604,3.60765791,0.0,3.607657909393311,3.607657909393311,3.607657909393311,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52220_192.168.10.50_80_TCP_2017-07-06 09:15:57.283336,2017-07-06 09:15:57.283336,172.16.0.1,52220,192.168.10.50,80,TCP,3.6078271865844727,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.385875692325911,0.5543502769303644,0.8315254153955467,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.9019568,1.56171468,3.6069259643554688,0.0001401901245117,3.6078271865844727,1.80380654,1.80311942,3.6069259643554688,0.0006871223449707,3.60761308670044,3.607687,0.0,3.607686996459961,3.607686996459961,3.607686996459961,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52202_192.168.10.50_80_TCP_2017-07-06 09:15:56.932508,2017-07-06 09:15:56.932508,172.16.0.1,52202,192.168.10.50,80,TCP,3.958715915679932,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2630358193159767,0.5052143277263907,0.7578214915895861,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.98967898,1.71367736,3.957855224609375,6.508827209472656e-05,3.958715915679932,1.97922206,1.97863317,3.957855224609375,0.0005888938903808,3.958444118499756,3.95865083,0.0,3.958650827407837,3.958650827407837,3.958650827407837,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52200_192.168.10.50_80_TCP_2017-07-06 09:15:56.870305,2017-07-06 09:15:56.870305,172.16.0.1,52200,192.168.10.50,80,TCP,4.020948886871338,32,20,12,16625,2972,13653,7926,0,519.53125,1374.27285283,1888625.87402344,7926,0,519.53125,1374.27285283,35375.34,7926,0,519.53125,1374.27285283,4365865.6875,1040,40,32,32.5,1.93649167,648,40,32,32.4,1.74355958,392,40,32,32.66666667,2.21108319,148.6,1137.75,519.53125,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.596202971323,739.12901745749,3395.4671855138326,7.958320510982396,2.9843701916183982,4.973950319363997,0.6,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,16,0,0,2,31,0,0,1,8,0,0,1,19,0,0,1,8,0,0,1,12,0,0,0.12970803,0.51057498,2.80419397354126,4.0531158447265625e-06,4.020948886871338,0.21161468,0.63875532,2.80419397354126,4.0531158447265625e-06,4.020678997039795,0.36552954,0.80633853,2.805229902267456,0.0001561641693115,4.020824909210205,20.0,12.0,2972.0,2972.0,Web_XSS
172.16.0.1_52320_192.168.10.50_80_TCP_2017-07-06 09:16:16.999789,2017-07-06 09:16:16.999789,172.16.0.1,52320,192.168.10.50,80,TCP,5.607359886169434,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36.0,4.0,0.0,0.0,0.0,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8916852318205064,0.3566740927282025,0.5350111390923039,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1.40183997,2.42749686,5.6063878536224365,0.000154972076416,5.607359886169434,2.80357099,2.80281687,5.6063878536224365,0.0007541179656982,5.607141971588135,5.60720491,0.0,5.607204914093018,5.607204914093018,5.607204914093018,3.0,2.0,0.0,0.0,Web_XSS
172.16.0.1_52318_192.168.10.50_80_TCP_2017-07-06 09:16:16.999785,2017-07-06 09:16:16.999785,172.16.0.1,52318,192.168.10.50,80,TCP,5.906662940979004,9,5,4,2065,358,1707,1707,0,229.44444444,534.18788021,285356.69135802,1707,0,229.44444444,534.18788021,20506.24,1707,0,229.44444444,534.18788021,546346.6875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34.0,3.46410162,71.6,426.75,229.44444444444449,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.6051866568393,60.60951904268691,288.9956676141524,1.5237029926932464,0.6772013300858872,0.846501662607359,0.8,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.73833287,1.63602108,5.001625061035156,0.0001211166381835,5.906662940979004,1.47666574,2.06500173,5.002168893814087,0.0007550716400146,5.906662940979004,1.96865972,2.17214127,5.00228214263916,0.0333418846130371,5.905979156494141,5.0,4.0,358.0,358.0,Web_XSS
